"beg_date","count(*)"
NULL,"805367"
"1901-01-01","2"
"1939-03-01","1"
"1941-10-01","1"
"1946-01-01","8"
"1946-02-01","2"
"1946-05-01","1"
"1946-08-01","1"
"1946-09-01","1"
"1946-12-01","1"
"1947-02-01","1"
"1947-03-01","1"
"1947-07-01","1"
"1948-09-01","1"
"1948-10-01","2"
"1948-12-01","1"
"1949-03-01","3"
"1949-08-01","1"
"1949-09-01","1"
"1949-11-01","1"
"1950-03-01","1"
"1950-04-01","1"
"1950-05-01","1"
"1950-06-01","1"
"1950-07-01","2"
"1950-09-01","2"
"1950-11-01","3"
"1951-01-01","2"
"1951-02-01","2"
"1951-03-01","1"
"1951-06-01","1"
"1951-07-01","1"
"1951-10-01","1"
"1951-11-01","2"
"1952-01-01","2"
"1952-03-01","1"
"1952-05-01","1"
"1952-06-01","5"
"1952-07-01","3"
"1952-09-01","3"
"1952-11-01","1"
"1952-12-01","1"
"1953-02-01","1"
"1953-03-01","2"
"1953-04-01","2"
"1953-06-01","2"
"1953-07-01","1"
"1953-08-01","1"
"1953-12-01","1"
"1954-01-01","3"
"1954-02-01","2"
"1954-03-01","3"
"1954-04-01","2"
"1954-06-01","2"
"1954-07-01","1"
"1954-09-01","1"
"1954-10-01","1"
"1954-11-01","5"
"1954-12-01","1"
"1955-01-01","4"
"1955-02-01","2"
"1955-03-01","2"
"1955-04-01","4"
"1955-05-01","1"
"1955-06-01","1"
"1955-07-01","5"
"1955-08-01","5"
"1955-09-01","2"
"1955-10-01","3"
"1955-11-01","1"
"1955-12-01","5"
"1956-01-01","8"
"1956-02-01","1"
"1956-03-01","4"
"1956-04-01","3"
"1956-05-01","10"
"1956-06-01","8"
"1956-07-01","4"
"1956-08-01","4"
"1956-09-01","5"
"1956-10-01","3"
"1956-11-01","2"
"1956-12-01","6"
"1957-01-01","9"
"1957-02-01","5"
"1957-03-01","6"
"1957-04-01","5"
"1957-05-01","7"
"1957-06-01","5"
"1957-07-01","2"
"1957-08-01","9"
"1957-09-01","5"
"1957-10-01","5"
"1957-11-01","6"
"1957-12-01","1"
"1958-01-01","7"
"1958-02-01","10"
"1958-03-01","8"
"1958-04-01","7"
"1958-05-01","7"
"1958-06-01","5"
"1958-07-01","6"
"1958-08-01","5"
"1958-09-01","12"
"1958-10-01","8"
"1958-11-01","9"
"1958-12-01","6"
"1959-01-01","10"
"1959-02-01","8"
"1959-03-01","16"
"1959-04-01","14"
"1959-05-01","12"
"1959-06-01","11"
"1959-07-01","11"
"1959-08-01","6"
"1959-09-01","8"
"1959-10-01","14"
"1959-11-01","11"
"1959-12-01","9"
"1960-01-01","9"
"1960-02-01","12"
"1960-03-01","25"
"1960-04-01","10"
"1960-05-01","14"
"1960-06-01","11"
"1960-07-01","18"
"1960-08-01","16"
"1960-09-01","13"
"1960-10-01","21"
"1960-11-01","10"
"1960-12-01","17"
"1961-01-01","17"
"1961-02-01","17"
